"Sukunimi","Yhteensä"
"Forsman",2 185
"Marttinen",2 185
"Kari",2 180
"Airaksinen",2 175
"Nevala",2 166
"Haapaniemi",2 158
"Järvi",2 152
"Pöllänen",2 144
"Simonen",2 140
"Aro",2 134
"Holappa",2 130
"Ylinen",2 130
"Uotila",2 126
"Antikainen",2 124
"Puranen",2 117
"Sutinen",2 113
"Ihalainen",2 111
"Grönroos",2 107
"Lankinen",2 099
"Snellman",2 098
"Sihvonen",2 095
"Kalliokoski",2 089
"Tähtinen",2 088
"Kauppi",2 082
"Joensuu",2 074
"Aarnio",2 064
"Paavilainen",2 063
"Toivola",2 053
"Lehti",2 051
"Kauhanen",2 039
"Virolainen",2 025
"Sundström",2 024
"Kiiskinen",2 021
"Sivonen",2 015
"Törmänen",1 997
"Sormunen",1 996
"Friman",1 995
"Luoto",1 991
"Hassinen",1 990
"Eerola",1 988
"Koivuniemi",1 983
"Luostarinen",1 980
"Suvanto",1 970
"Ruohonen",1 968
"Westerlund",1 967
"Nordström",1 951
"Kotilainen",1 941
"Nenonen",1 928
"Tuomisto",1 926
"Ruuska",1 913
"Sinkkonen",1 903
"Kiiski",1 900
"Tervonen",1 891
"Nygård",1 888
"Sorsa",1 885
"Antila",1 883
"Koljonen",1 882
"Pietikäinen",1 880
"Sinisalo",1 880
"Laamanen",1 879
"Piiroinen",1 879
"Björklund",1 878
"Rajamäki",1 878
"Pikkarainen",1 867
"Suomela",1 863
"Tenhunen",1 851
"Ukkonen",1 846
"Lämsä",1 844
"Ekman",1 838
"Kekkonen",1 836
"Kuokkanen",1 836
"Huusko",1 835
"Siitonen",1 830
"Forsström",1 829
"Laitila",1 825
"Nyström",1 824
"Vuorio",1 823
"Paajanen",1 822
"Lind",1 813
"Neuvonen",1 808
"Leppälä",1 807
"Suomi",1 807
"Bergman",1 805
"Jylhä",1 795
"Junttila",1 792
"Alho",1 791
"Vanhanen",1 790
"Mäkitalo",1 789
"Lyytikäinen",1 788
"Saarelainen",1 787
"Kujanpää",1 784
"Arola",1 781
"Vepsäläinen",1 779
"Tahvanainen",1 772
"Pöyhönen",1 768
"Jantunen",1 767
"Sandberg",1 767
"Lempinen",1 765
"Suutari",1 761
"Vainionpää",1 759
"Hyytiäinen",1 758
"Närhi",1 757
"Wikström",1 754
"Hakanen",1 747
"Kontio",1 747
"Nyholm",1 747
"Pakkanen",1 746
"Tapio",1 744
"Helander",1 740
"Kosunen",1 738
"Hynninen",1 737
"Honkala",1 735
"Tuomainen",1 730
"Inkinen",1 725
"Hurme",1 724
"Minkkinen",1 718
"Kääriäinen",1 712
"Kaartinen",1 706
"Tauriainen",1 702
"Saukkonen",1 700
"Rintamäki",1 698
"Ekholm",1 697
"Palonen",1 694
"Nummela",1 685
"Piironen",1 682
"Pirhonen",1 679
"Pyykkö",1 667
"Kautto",1 664
"Puttonen",1 661
"Remes",1 660
"Lukkarinen",1 657
"Söderlund",1 657
"Itkonen",1 654
"Nurmela",1 646
"Määttänen",1 636
"Grönlund",1 635
"Halttunen",1 635
"Selin",1 635
"Romppanen",1 634
"Tukiainen",1 632
"Koivu",1 626
"Tammi",1 625
"Harjula",1 624
"Saukko",1 619
"Vanhala",1 619
"Nikkanen",1 613
"Tiilikainen",1 613
"Santala",1 607
"Mäkilä",1 602
"Pekkanen",1 598
"Kalliomäki",1 596
"Kananen",1 596
"Kivioja",1 596
"Pyykkönen",1 596
"Myllylä",1 594
"Setälä",1 594
"Tuomaala",1 594
"Välimaa",1 592
"Koivumäki",1 591
"Tossavainen",1 591
"Ryhänen",1 580
"Kuitunen",1 579
"Piispanen",1 568
"Sundqvist",1 567
"Lindeman",1 566
"Tuomela",1 561
"Ahtiainen",1 559
"Lintunen",1 553
"Valtanen",1 548
"Tyni",1 546
"Ketonen",1 538
"Happonen",1 532
"Hovi",1 530
"Hellsten",1 526
"Pietiläinen",1 525
"Siekkinen",1 524
"Tuhkanen",1 519
"Mohamed",1 517
"Siltanen",1 514
"Sivula",1 507
"Vesala",1 506
"Hakola",1 502
"Poutanen",1 500
"Kataja",1 499
"Päivärinta",1 494
"Nyyssönen",1 493
"Rämö",1 490
"Hellman",1 489
"Hakulinen",1 485
"Kangasniemi",1 481
"Haapalainen",1 479
"Kuusinen",1 474
"Toikka",1 473
"Peltomäki",1 470
"Nguyen",1 469
"Mäntynen",1 468
"Piipponen",1 466
"Vänskä",1 463
"Pellinen",1 462
"Turtiainen",1 462
"Kuivalainen",1 457
"Vaittinen",1 455
"Wallenius",1 455
"Salin",1 454
"Pettersson",1 453
"Montonen",1 452
"Stenberg",1 452
"Piippo",1 451
"Mykkänen",1 444
"Honkonen",1 443
"Torvinen",1 442
"Lindén",1 438
"Valli",1 437
"Talvitie",1 435
"Kuittinen",1 434
"Parkkonen",1 434
"Sandström",1 433
"Räihä",1 431
"Kuikka",1 426
"Syrjänen",1 421
"Jalkanen",1 417
"Sippola",1 414
"Jäppinen",1 412
"Kärnä",1 412
"Sjöberg",1 411
"Herranen",1 407
"Palosaari",1 407
"Grönholm",1 404
"Soikkeli",1 404
"Utriainen",1 404
"Hallikainen",1 402
"Nikkinen",1 402
"Kuparinen",1 400
"Ali",1 399
"Nikkilä",1 397
"Iivonen",1 394
"Jaakola",1 390
"Pursiainen",1 388
"Lönnqvist",1 385
"Orava",1 385
"Männikkö",1 382
"Mähönen",1 380
"Raunio",1 380
"Hynynen",1 377
"Lamberg",1 367
"Tuomola",1 367
"Ojanperä",1 366
"Puumalainen",1 365
"Suni",1 365
"Rahkonen",1 362
"Nordlund",1 360
"Katajamäki",1 359
"Pellikka",1 359
"Pulli",1 357
"Annala",1 356
"Savela",1 355
"Vuorenmaa",1 355
"Putkonen",1 354
"Vatanen",1 351
"Sairanen",1 350
"Reijonen",1 347
"Salovaara",1 342
"Kakko",1 341
"Niskala",1 341
"Peltomaa",1 341
"Kekäläinen",1 340
"Vehviläinen",1 338
"Öhman",1 337
"Lappi",1 336
"Numminen",1 336
"Saikkonen",1 336
"Viljakainen",1 334
"Naukkarinen",1 332
"Kaunisto",1 329
"Pynnönen",1 329
"Juutilainen",1 328
"Leivo",1 328
"Kaukonen",1 327
"Olkkonen",1 327
"Tynkkynen",1 327
"Isotalo",1 326
"Kukkola",1 325
"Pohjonen",1 325
"Hukkanen",1 324
"Kankkunen",1 324
"Kervinen",1 324
"Manner",1 322
"Sundberg",1 321
"Ervasti",1 320
"Vauhkonen",1 320
"Sipola",1 317
"Väätäinen",1 315
"Nordman",1 311
"Nissilä",1 309
"Suokas",1 309
"Heimonen",1 308
"Jämsä",1 307
"Virkkunen",1 306
"Kurvinen",1 300
"Haikonen",1 299
"Wallin",1 296
"Huhta",1 291
"Pihlajamäki",1 290
"Oja",1 288
"Lähde",1 286
"Siltala",1 286
"Kohonen",1 283
"Mutanen",1 279
"Kaipainen",1 278
"Lintula",1 278
"Mäkeläinen",1 278
"Palmu",1 275
"Malmberg",1 271
"Pylkkänen",1 271
"Roos",1 271
"Holma",1 270
"Vainikka",1 268
"Vikman",1 268
"Pihlaja",1 267
"Reponen",1 266
"Poutiainen",1 264
"Vanhatalo",1 263
"Päivinen",1 261
"Säkkinen",1 261
"Mannila",1 260
"Huhtanen",1 258
"Haanpää",1 257
"Kilpinen",1 255
"Elomaa",1 254
"Hurskainen",1 254
"Ovaskainen",1 254
"Ovaska",1 252
"Kovalainen",1 247
"Blom",1 246
"Kupiainen",1 245
"Lindell",1 243
"Perttula",1 241
"Vainikainen",1 234
"Rouhiainen",1 233
"Ahmed",1 231
"Söderholm",1 231
"Jokelainen",1 229
"Kuoppala",1 229
"Haapakoski",1 228
"Kumpula",1 228
"Murto",1 228
"Viinikainen",1 226
"Klemetti",1 225
