"Etunimi","Lukumäärä"
"Miikkael",828
"Bjarne",823
"Asseri",822
"Usko",815
"Anthony",809
"Leander",798
"Uuno",797
"Vesa-Matti",796
"Otava",792
"Ilja",785
"Omar",785
"Hemmo",782
"Dennis",779
"Kaspian",779
"Jussi-Pekka",778
"Yrjänä",771
"Mohammed",763
"Alfons",761
"Romeo",756
"Ove",753
"Mark",751
"Marius",749
"Benjami",746
"Atso",744
"Teodor",744
"Frank",740
"Hassan",739
"Valfrid",737
"Ibrahim",736
"Osvald",734
"Olav",733
"Mauritz",724
"Antinpoika",720
"Jare",718
"Jim",717
"Jeremia",713
"Tim",712
"Turo",710
"Roland",708
"Theo",707
"Miikael",696
"Ruben",696
"Mohammad",691
"Arimo",689
"Into",688
"Valtter",685
"Rene",683
"Dimitri",681
"Jonni",680
"Rune",669
"Aleksei",665
"Kauno",665
"Bruno",663
"Julian",663
"Ferdinand",660
"Anselm",653
"Boris",652
"Gösta",651
"Jörgen",651
"Reko",642
"Neo",641
"Casimir",640
"Petja",637
"Joachim",630
"Kaius",628
"Micael",627
"Sam",627
"Philip",626
"Arno",623
"Abdi",622
"Joosua",621
"Jesperi",618
"Werner",614
"Eppu",613
"Immanuel",610
"Pekko",610
"Erland",606
"Vladimir",605
"Ernst",596
"Runar",596
"Charles",591
"Guy",589
"Evald",587
"Jacob",587
"Raino",587
"Ylermi",587
"Miki",585
"Herbert",580
"Nestor",579
"Ivan",578
"Matinpoika",577
"Zacharias",576
"Fabian",574
"Bertil",573
"Dani",573
"Sten",572
"Abdullahi",570
"Jasu",568
"Aleksandr",567
"Antto",567
"Pontus",565
"Matts",563
"Mirko",563
"Sameli",563
"Juhanpoika",557
"Jean",556
"Juri",554
"Sylvester",549
"Theodor",548
"Tage",542
"Yngve",535
"Nicklas",532
"Vesa-Pekka",532
"Ville-Pekka",532
"Sergei",526
"Toimi",526
"Abdirahman",525
"Edwin",521
"Eugen",519
"Kent",517
"Arnold",509
"Jaro",509
"Hussein",505
"Arsi",504
"Helmeri",502
"Salomo",500
"Wiljam",498
"Mikonpoika",496
"Joseph",491
"Ludvig",491
"Osku",491
"Alvin",487
"Andrew",487
"Esaias",487
"Klas",485
"Torbjörn",483
"Reinhold",482
"Antti-Jussi",480
"Muhammad",477
"Ingemar",476
"Mainio",474
"Valde",474
"Kari-Pekka",472
"Ronny",472
"Vilppu",472
"Orvo",470
"Amir",469
"Ohto",464
"Raineri",464
"Wille",459
"Maxim",458
"Karl-Erik",456
"Samppa",453
"Svante",453
"Veini",452
"Hilding",450
"Turkka",449
"Aatami",448
"Joshua",448
"Joa",447
"Igor",445
"Ahmad",440
"Antti-Pekka",439
"Karim",439
"Maunu",436
"Akusti",434
"Soini",434
"Asmo",433
"Villiam",432
"Dominic",429
"Josef",427
"Pavel",427
"Torvald",427
"George",424
"Jonny",424
"Torolf",421
"Nikita",419
"Aadolf",417
"Mertsi",414
"Mikke",414
"Aake",411
"Karl-Johan",411
"Knut",411
"Sune",408
"Mårten",407
"Kusti",404
"Kaino",402
"Timonpoika",402
"Hemming",400
"Sigurd",399
"Augusti",398
"Jack",398
"Pietu",398
"Leonardo",397
"Nino",397
"Eeti",395
"Ola",395
"Hemminki",394
"Herkko",394
"Kuisma",391
"Sixten",391
"Matthew",390
"Roman",390
"Mustafa",389
"Per-Erik",387
"Folke",386
"Yusuf",386
"Aappo",385
"Jalmar",385
"Jukanpoika",382
"Urmas",380
"Erkko",378
"Levi",377
"Denis",376
"Jason",376
"Matteus",376
"Werneri",376
"Maximus",373
"Elo",372
"Berndt",369
"Ian",368
"Pirkka",366
"Bernt",364
"Heikinpoika",363
"Mahamed",363
"Kristofer",362
"Ville-Petteri",362
"Van",361
"Abraham",358
"Lars-Erik",358
"Pekanpoika",357
"Mitja",356
"Alexis",355
"Carlos",355
"Jarinpoika",354
"Carl-Johan",353
"Rickard",353
"Sture",351
"Karo",346
"Petro",346
"René",344
"Valio",344
"Nikodemus",343
"Wäinö",343
"Said",342
"Pete",341
"Ismail",340
"Aate",339
"Benny",336
"Alexandre",335
"Hemmi",335
"Kennet",334
"Totti",334
"Konrad",333
"Ingvar",331
"Elian",327
"Maksim",326
"Ernesti",323
"Miio",323
"Amin",322
"Aarto",321
"Staffan",321
"Maurits",318
"Emmanuel",316
"Esa-Pekka",316
"Jaani",315
"Jetro",313
"Milton",313
"Samir",313
"Masi",310
"Olle",310
"Osman",310
"Jake",308
"Elvis",306
"Vidar",306
"Alexi",305
"Sören",305
"Immo",303
"Ville-Matti",303
"Hannu-Pekka",302
"Jari-Matti",302
"Mihail",302
"Sigfrid",300
"Ted",300
"Thor",300
"Tore",300
"Edgar",299
"Adiel",298
"Leopold",298
"Wilmer",298
"Amadeus",297
"Kuutti",297
"Nikke",297
"Alec",296
"Myrsky",296
"Oleg",294
"Emilio",293
"Isac",293
"Alan",291
"Melvin",291
"Ari-Matti",290
"Eskil",290
"Hannunpoika",290
"Jasse",289
"Karinpoika",288
"Selim",286
"Hasan",285
"Huugo",285
"Juho-Pekka",285
"Raul",284
"Raymond",284
"Rurik",284
"Renne",281
"Abdullah",280
"Ingvald",280
"Jermu",280
"Junior",280
"Uno",280
"Dick",279
"Eddie",279
"Manne",279
"Rony",279
"Mohamud",277
"Ronnie",277
"Mikhail",276
"Peik",276
"Pessi",276
"Conny",275
"Kare",273
"Tristan",273
"Mario",272
"Elof",271
"Fjalar",270
"Terno",270
"Ernest",266
"Kristo",265
"Lionel",265
"Timo-Pekka",264
"Jasperi",263
"Joe",263
"Nemo",263
"Sammeli",263
"Arttur",262
"Viggo",261
"Aleks",260
"Roberto",260
"Frej",259
"Louis",259
"Caj",258
"Jussinpoika",258
"Patric",258
"Gerhard",256
"Glenn",256
"Kerkko",256
"Uula",256
"Minh",254
"Jone",253
"Luis",253
"Andre",252
"Mike",252
"Jaska",250
"Kirill",250
"Lee",250
"Sergey",250
"Abel",248
"Atro",248
"Ami",247
"Dmitri",245
"Jali",245
"Elja",244
"Marc",244
"Ville-Valtteri",244
"Aati",243
"Rico",243
"Matteo",242
"Mikanpoika",242
"Sigvard",242
"Andrey",241
"Ilo",241
"Miiko",241
"Abdulkadir",239
"Feliks",237
"Greger",237
"Morris",237
"Alvi",236
"Markunpoika",235
"Michel",235
"Khalid",234
"Matthias",234
"Miguel",234
"Hamza",231
"Jeremy",231
"Fred",230
"Rickhard",230
"Jannenpoika",229
"Olli-Matti",228
"Mehmet",227
"Ronald",227
"Valeri",227
"Remu",225
"Saul",225
"Ariel",224
"Caspian",224
"Ryan",224
"Raafael",222
"Villehard",220
"Abdul",219
"Johann",219
"Sven-Erik",218
"Ken",217
"Nathan",217
"Aaretti",216
"Hiski",214
"Jarko",214
"Karl-Gustav",214
"Leino",214
"Eikka",213
"Milan",213
"Arinpoika",211
"Finn",211
"Leonel",211
"Luke",211
"Ture",210
"Anas",209
"Daniil",209
"Singh",208
"Kauri",207
"Miklas",207
"Alexei",206
"Jaakonpoika",206
"Juan",206
"Rauni",206
"Alberto",205
"Alpi",205
"Eliot",205
"Jan-Peter",205
"Titus",205
"Ricardo",204
"Eduard",203
"Jani-Petteri",203
"Jusa",203
"Ron",203
"Simo-Pekka",203
"Algot",202
"Colin",200
"Francis",200
"Jaakoppi",200
"Henning",198
"Jan-Mikael",198
"Saska",195
"Niilas",194
"Liinus",193
"Tuisku",193
"Artem",192
"Gottfrid",192
"Aale",191
"Timothy",191
"Ahto",190
"Rufus",190
"Verne",190
"Alexey",189
"Thanh",189
"Valtti",189
"Kari-Matti",187
"Waltter",187
"Abbas",186
"Micke",186
"Gideon",185
"Tyko",185
"Clas",184
"Dmitry",184
"Lenny",184
