"Etunimi","Lukumäärä"
"Merita",719
"Britta",718
"Edla",717
"Lily",716
"Josefine",708
"Rose",707
"Jeanette",706
"Mai",706
"Tove",706
"Christel",703
"Catharina",702
"Ilse",700
"Dagmar",698
"Selja",698
"Emilie",696
"Adessa",692
"Adelia",688
"Christa",687
"Impi",687
"Mariel",684
"Siri",684
"Hanna-Maria",683
"Jane",674
"Isabelle",673
"Tamara",673
"Emmiina",672
"Rosanna",667
"Saini",665
"Rosita",663
"Ahmed",662
"Marju",662
"Sigrid",653
"Eeva-Maria",652
"Ann-Marie",650
"Rebecka",646
"Linn",645
"Elmiina",644
"Antonia",643
"Milana",643
"Eve",640
"Tara",640
"Therese",640
"Viveka",640
"Eivor",639
"Marian",633
"Pirjo-Riitta",629
"Anne-Maj",627
"Larissa",624
"Ria",622
"Angelina",620
"Terese",620
"Anna-Sofia",616
"Sarianna",615
"Jelena",610
"Ramona",610
"Fiia",607
"Cristina",606
"Siina",606
"Jenniina",605
"Kaino",601
"Jannika",600
"Catarina",599
"Lili",599
"Ottilia",599
"Sinna",593
"Anne-Maarit",588
"Eriika",586
"Ritva-Liisa",585
"Lara",584
"Noomi",583
"My",581
"Iida-Maria",579
"Briitta",578
"Mariana",578
"Galina",576
"Silva",570
"Ireene",568
"Marit",562
"Susann",557
"Bella",555
"Lenita",553
"Magdaleena",553
"Henna-Riikka",546
"Hellä",541
"Karina",541
"Pirjo-Liisa",541
"Serafina",536
"Sirja",533
"Annemari",532
"Augusta",532
"Eija-Liisa",531
"Angela",529
"Ali",528
"Viveca",528
"Kristine",527
"Hulda",525
"Ruusu",524
"Svea",523
"Yasmin",517
"Liinu",516
"Inga-Lill",515
"Sade",512
"Tua",512
"Ulpu",508
"Ulriikka",505
"Pernilla",501
"Amina",500
"Ilta",500
"Alise",498
"Märta",498
"Marikki",496
"Soila",495
"Lidia",493
"Sani",493
"Ann-Christine",491
"Eeva-Maija",491
"Margaret",487
"Sanna-Kaisa",487
"Kreetta",485
"Marissa",480
"Pamela",480
"Clara",479
"Ellinor",478
"Meiju",478
"Sanna-Maria",477
"May",476
"Mari-Anne",469
"Hanneli",467
"Lisbet",467
"Valeria",465
"Mariam",462
"Teea",462
"Estelle",458
"Usva",458
"Karla",457
"Louna",457
"Nana",457
"Roosa-Maria",456
"Cassandra",452
"Carmen",450
"Maja",450
"Aleksiina",449
"Assi",448
"Mariaana",448
"Evelyn",447
"Else-Maj",446
"Hannamari",444
"Aallotar",440
"Annica",438
"Maili",438
"Mandi",437
"Jadessa",436
"Fatima",435
"Petriina",434
"Margita",431
"Angelika",430
"Evelin",430
"Margarita",429
"Moa",429
"Samira",429
"Hannah",428
"Bianca",427
"Lumina",425
"Abdi",424
"Ann-Christin",421
"Ingegärd",421
"Naomi",420
"Aisha",419
"Catherine",419
"Gabriela",417
"Tuulevi",417
"Eden",416
"Alexsandra",412
"Leeni",412
"Gun-Britt",411
"Kamilla",411
"Vivi",411
"Marjanne",409
"Riika",409
"Meri-Tuuli",403
"Hedvig",402
"Annie",401
"Esther",401
"Marica",401
"Rianna",400
"Britt-Marie",399
"Iitu",399
"Lumikki",398
"Mariela",398
"Odessa",398
"Katrin",396
"Klaudia",395
"Kreeta",395
